---------------------------------
| env_stats/         |          |
|    explained_variance   | 0.832        |
|    learning_rate        | 0.0005       |
|    loss                 | 0.0117       |
|    n_updates            | 666          |
|    policy_gradient_loss | 0.00168      |
|    value_loss           | 0.00965      |
------------------------------------------
-----------------------------------------
| env_stats/              |             |
|    badge                | 0.667       |
|    deaths               | 3.33        |
|    event                | 26          |
|    frames               | 913         |
|    healr                | 6.66        |
|    hp                   | 0.595       |
|    levels_sum           | 32          |
|    map                  | 55.8        |
|    pcount               | 3.33        |
|    step                 | 1.02e+04    |
|    x                    | 19.5        |
|    y                    | 17.2        |
| time/                   |             |
|    fps                  | 71          |
|    iterations           | 7           |
|    time_elapsed         | 9647        |
|    total_timesteps      | 688128      |
| train/                  |             |
|    approx_kl            | 0.011358395 |
|    clip_fraction        | 0.0386      |
|    clip_range           | 0.3         |
|    entropy_loss         | -0.158      |
|    explained_variance   | 0.838       |
|    learning_rate        | 0.0005      |
|    loss                 | 0.00331     |
|    n_updates            | 667         |
|    policy_gradient_loss | 0.0024      |
|    value_loss           | 0.00979     |
-----------------------------------------
-----------------------------------------
| env_stats/              |             |
|    badge                | 0.667       |
|    deaths               | 3.5         |
|    event                | 22.7        |
|    frames               | 1.32e+03    |
|    healr                | 6.19        |
|    hp                   | 0.904       |
|    levels_sum           | 38.3        |
|    map                  | 27          |
|    pcount               | 4.33        |
|    step                 | 1.02e+04    |
|    x                    | 24.2        |
|    y                    | 15.5        |
| time/                   |             |
|    fps                  | 71          |
|    iterations           | 8           |
|    time_elapsed         | 11042       |
|    total_timesteps      | 786432      |
| train/                  |             |
|    approx_kl            | 0.009178074 |
|    clip_fraction        | 0.0309      |
|    clip_range           | 0.3         |
|    entropy_loss         | -0.16       |
|    explained_variance   | 0.851       |
|    learning_rate        | 0.0005      |
|    loss                 | 0.00325     |
|    n_updates            | 668         |
|    policy_gradient_loss | 0.00218     |
|    value_loss           | 0.0102      |
-----------------------------------------
Traceback (most recent call last):
  File "C:\Users\Ian\IdeaProjects\PokemonRedExperiments\baselines\run_baseline_parallel_fast.py", line 136, in <module>
    main()
  File "C:\Users\Ian\IdeaProjects\PokemonRedExperiments\baselines\run_baseline_parallel_fast.py", line 131, in main
    model.learn(total_timesteps=5_000_000, callback=callback)  # Train the model
    ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "C:\Users\Ian\AppData\Local\Programs\Python\Python311\Lib\site-packages\stable_baselines3\ppo\ppo.py", line 308, in learn
    return super().learn(
           ^^^^^^^^^^^^^^
  File "C:\Users\Ian\AppData\Local\Programs\Python\Python311\Lib\site-packages\stable_baselines3\common\on_policy_algorithm.py", line 259, in learn
    continue_training = self.collect_rollouts(self.env, callback, self.rollout_buffer, n_rollout_steps=self.n_steps)
                        ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "C:\Users\Ian\AppData\Local\Programs\Python\Python311\Lib\site-packages\stable_baselines3\common\on_policy_algorithm.py", line 169, in collect_rollouts
    actions, values, log_probs = self.policy(obs_tensor)
                                 ^^^^^^^^^^^^^^^^^^^^^^^
  File "C:\Users\Ian\AppData\Local\Programs\Python\Python311\Lib\site-packages\torch\nn\modules\module.py", line 1501, in _call_impl
    return forward_call(*args, **kwargs)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "C:\Users\Ian\AppData\Local\Programs\Python\Python311\Lib\site-packages\stable_baselines3\common\policies.py", line 617, in forward
    features = self.extract_features(obs)
               ^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "C:\Users\Ian\AppData\Local\Programs\Python\Python311\Lib\site-packages\stable_baselines3\common\policies.py", line 640, in extract_features
    return super().extract_features(obs, self.features_extractor)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "C:\Users\Ian\AppData\Local\Programs\Python\Python311\Lib\site-packages\stable_baselines3\common\policies.py", line 130, in extract_features
    preprocessed_obs = preprocess_obs(obs, self.observation_space, normalize_images=self.normalize_images)
                       ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "C:\Users\Ian\AppData\Local\Programs\Python\Python311\Lib\site-packages\stable_baselines3\common\preprocessing.py", line 110, in preprocess_obs
    return obs.float() / 255.0
           ^^^^^^^^^^^
KeyboardInterrupt
